"Company_Name","Ticker","Sub_Sector","Market_Cap","Close_Price","PE_Ratio","5Y_Historical_Revenue_Growth","1Y_Forward_Revenue_Growth","Total_Revenue","PBT","Taxes_And_Other_Items","DII_Holding_Change_3M","FII_Holding_Change_3M","MF_Holding_Change_3M","Promoter_Holding_Change_3M","Percentage_Buy_Records","No_Of_Analysts_With_Buy_Reco","Percentage Upside"
"Pidilite Industries Ltd","PIDILITIND","Diversified Chemicals",136776.4766,2727.95,113.2668162,11.6952877,20.57604869,9969.14,1613.78,406.22,0.270444785,0.209048042,0.073482347,0.0,16.66666667,3,-10.18896974
"Tata Steel Ltd","TATASTEEL","Iron & Steel",128067.9107,106.1,3.189424067,16.86519227,-6.248950289,246198.63,50226.87,10072.94,-0.697704426,-0.430146472,-1.906902894,6.72e-05,63.33333333,19,10.74458058
"Hindustan Zinc Ltd","HINDZINC","Mining - Diversified",127154.2676,303.15,13.20534506,9.195030074,4.629436326,30656.0,14100.0,4471.0,0.004251608,-0.044794014,0.006839081,0.0,15.38461538,2,-2.688438067
"Adani Power Ltd","ADANIPOWER","Power Generation",126534.275,324.7,25.76243795,6.585745495,0.0,31686.47,6577.13,1665.55,0.003552169,-4.335788447,0.000770274,0.0,0.0,0,0.0
"HDFC Life Insurance Company Ltd","HDFCLIFE","Insurance",125868.1486,584.85,94.85666059,17.13689627,-19.65842033,67891.6,1487.25,160.32,-0.054080405,1.14872465,-0.059960112,-1.196616018,96.77419355,30,15.7561768
"SBI Life Insurance Company Ltd","SBILIFE","Insurance",125370.3526,1253.5,83.24779885,22.31588302,-17.33451883,84015.6,1686.91,180.92,3.360845277,0.430291588,-0.295031752,-0.016755977,96.96969697,32,29.39768648
"Vedanta Ltd","VEDL","Metals - Diversified",115119.0411,301.85,6.122701899,11.97027348,-0.489056542,135332.0,32964.0,14162.0,-1.195603532,-0.586654757,-1.284446205,0.0,57.14285714,8,4.356468445
"Ambuja Cements Ltd","AMBUJACEM","Cement",112811.8211,564.95,40.57424565,7.356230979,-3.602871928,29338.13,5164.47,2384.09,1.541911006,-1.774184127,0.3177747,0.021127477,46.15384615,18,-14.15169484
"Grasim Industries Ltd","GRASIM","Cement",112729.1056,1716.95,14.93144246,21.26819625,0.0,97418.54,13142.6,5592.82,1.517161414,4.42191332,-0.903523652,-0.00548826,77.77777778,7,10.66134716
"Indian Oil Corporation Ltd","IOC","Oil & Gas - Refining & Marketing",107544.5579,75.3,4.284263106,10.52862389,31.63897352,593653.52,34288.62,9186.39,-0.121571947,-0.968575958,-0.381937243,0.0,61.29032258,19,2.257636122
"Tech Mahindra Ltd","TECHM","IT Services & Consulting",104808.0955,1074.55,18.82971838,8.872525132,15.73170225,45761.1,7452.1,1886.0,3.074749356,-2.223756025,0.05773327,-0.021650305,59.45945946,22,9.115443674
"Bajaj Auto Ltd","BAJAJ-AUTO","Two Wheelers",103977.6193,3676.7,16.86341413,9.037668368,3.798726249,35824.89,7651.68,1485.81,-0.794345954,0.406538577,-0.943231516,1.077904419,50.0,22,11.24105856
"Britannia Industries Ltd","BRITANNIA","FMCG - Foods",101423.113,4285.35,66.51481026,9.300995221,13.88674352,14359.09,2078.33,553.51,7.517806744,0.531142546,0.696659971,0.0,66.66666667,24,0.341862392
"Dabur India Ltd","DABUR","FMCG - Personal Products",98916.18446,593.1,56.87387706,7.353608168,4.981102373,11281.84,2268.68,529.46,2.64413321,0.013795546,-0.240857603,-0.001351181,74.35897436,29,4.872702748
"Siemens Ltd","SIEMENS","Conglomerates",98402.3275,2778.7,63.77751474,7.072832854,-3.341364405,16726.7,1992.8,449.9,-0.111563438,0.604760041,0.55029445,0.0,73.91304348,17,8.252060316
"DLF Ltd","DLF","Real Estate",97770.42752,392.55,65.1429364,-8.22410153,3.547659197,6137.85,1164.6,-336.26,0.228885598,-0.025368118,0.033431264,0.0,84.21052632,16,13.36135524
"Hindalco Industries Ltd","HINDALCO","Metals - Aluminium",96509.51101,435.95,7.02909767,14.20136196,3.687995453,197042.0,19103.0,5373.0,9.029796917,0.095027644,-1.094328228,-3.68e-05,95.0,19,18.5915816
"Eicher Motors Ltd","EICHERMOT","Trucks & Buses",94055.20821,3416.1,56.09877622,7.70651642,32.06558414,10798.8,2202.51,525.91,-0.077635972,0.754220044,-0.345391916,-0.004835444,68.29268293,28,15.27765581
"Indusind Bank Ltd","INDUSINDBK","Private Banks",92826.60414,1180.6,19.31859134,15.5274412,-33.33668275,38230.07,6432.82,1627.78,1.570925932,1.077262862,-0.16479766,-0.003267331,84.09090909,37,18.58377096
"Hindustan Aeronautics Ltd","HAL","Aerospace & Defense Equipments",92325.32905,2752.15,18.17413427,6.139479466,2.340172506,25604.95,5224.53,144.49,-2.241443834,1.289652873,0.083989683,0.0,87.5,7,14.63764693
"Divi's Laboratories Ltd","DIVISLAB","Labs & Life Sciences Services",89560.88053,3372.7,30.25245504,16.99652737,-10.35079405,9073.7,3683.5,723.05,0.798004796,-1.115813028,-0.23121305,0.0,28.57142857,6,1.550686394
"Cipla Ltd","CIPLA","Pharmaceuticals",88870.33001,1121.15,35.31154465,8.555514074,6.05727117,22044.25,3493.27,976.52,0.391295138,0.042924792,0.388874614,0.000340541,71.05263158,27,9.754270169
"Godrej Consumer Products Ltd","GODREJCP","FMCG - Personal Products",87295.1765,865.65,48.94901087,5.813673375,7.516024428,12421.66,2155.26,371.87,0.424752681,0.392499682,-0.02969294,-0.003330654,85.29411765,29,9.744122913
"Bank of Baroda Ltd","BANKBARODA","Public Banks",86753.49561,167.85,11.05183716,10.86541581,-45.46586229,87780.19,10008.3,2158.61,2.057049252,0.697361657,-0.108701901,0.0,87.5,28,2.17456062
"Larsen & Toubro Infotech Ltd","LTI","IT Services & Consulting",86611.95959,4912.15,37.7098396,19.26194544,21.85009358,16135.4,3097.4,800.6,0.024822297,-0.281989062,-0.347477842,-0.02316111,44.82758621,13,-3.199210122
"Shree Cement Ltd","SHREECEM","Cement",84476.55756,23426.1,36.22587097,11.67424371,11.53775686,15555.45,2891.82,559.88,-0.107824816,0.513160093,-0.555390371,0.0,32.5,13,-6.941402965
"Adani Wilmar Ltd","AWL","FMCG - Foods",81912.58258,622.75,101.915547,18.66298651,7.980764864,54385.89,1058.76,255.03,0.091125298,0.127808598,6.96e-05,0.0,20.0,1,-6.061822561
"Bharat Electronics Ltd","BEL","Electronic Equipments",78463.77536,106.15,32.70864005,11.4396343,14.25910209,15599.72,3166.24,767.37,-2.137835612,1.365603315,-1.236662916,0.0,78.26086957,18,16.81582666
"Varun Beverages Ltd","VBL","Soft Drinks",76818.86395,1183.3,110.6804368,18.84126579,41.33215914,9243.19,1006.61,312.55,-0.859477371,1.075998782,-0.874578296,0.001630206,80.0,12,4.369137159
"SBI Cards and Payment Services Ltd","SBICARD","Payment Infrastructure",76798.20991,817.3,47.51952795,26.62966207,12.93171184,11301.52,2172.16,556.02,0.794297854,0.533456004,0.356039079,-0.221731474,83.33333333,20,32.14242016
"Havells India Ltd","HAVELLS","Electrical Components & Equipments",76484.0134,1234.85,63.92472306,17.45946783,17.43878255,14098.92,1606.56,410.09,0.854912286,0.206399115,-0.499557854,0.0,46.15384615,18,7.098028101
"Tata Consumer Products Ltd","TATACONSUM","Tea & Coffee",74679.24378,805.05,79.80427427,12.69702801,9.586381047,12565.43,1455.99,520.21,0.912167955,0.264950478,0.285497187,0.004926549,79.16666667,19,6.825663002
"Bharat Petroleum Corporation Ltd","BPCL","Oil & Gas - Refining & Marketing",73876.56646,340.75,6.32423631,11.50961138,31.36397722,351730.5,16036.73,4355.23,0.198011597,-0.210433156,-3.035147619,0.0,62.5,20,7.410124725
"Interglobe Aviation Ltd","INDIGO","Airlines",73704.57373,1911.35,-11.96147471,6.594973761,98.19233786,26656.53,-6153.67,8.16,1.443855119,1.339453395,0.952504754,-2.836921624,76.19047619,16,21.615612
"Dr Reddy's Laboratories Ltd","DRREDDY","Pharmaceuticals",73055.6249,4453.35,33.47336765,8.993654878,6.364282191,22099.9,3061.4,878.9,-0.485534661,10.46947863,-1.367142864,-0.004107221,82.05128205,32,11.96065883
"Tata Power Company Ltd","TATAPOWER","Power Transmission & Distribution",71727.78984,223.45,41.18830742,9.35403403,12.15254127,46099.0,2535.17,793.71,-0.190580028,0.194648484,0.472681597,0.0,40.0,8,5.168941598
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","Asset Management",71136.32808,6395.3,17.53992625,38.79725952,0.0,4380.18,4225.9,170.22,0.031339653,0.247739513,-0.003890613,0.0,0.0,0,0.0
"SRF Ltd","SRF","Diversified Chemicals",68897.09907,2320.95,36.47433405,20.71905659,20.21344838,12549.17,2585.55,696.63,4.661098479,0.006554794,0.020652113,-0.203062562,80.0,20,23.87169047
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","Hospitals & Diagnostic Centres",67855.55626,4719.2,64.2815046,15.4811262,11.124783,15034.9,1578.1,522.5,-0.35708817,0.604570764,1.179008272,0.0,100.0,23,9.658416681
"ABB India Ltd","ABB","Heavy Electrical Equipments",65726.35716,3015.2,126.4673706,-3.814746886,19.26261545,7214.96,711.49,191.78,3.307719669,1.863235467,-0.569713679,0.0,45.83333333,11,6.792252587
"ICICI Prudential Life Insurance Company Ltd","ICICIPRULI","Insurance",65439.90124,471.1,86.1958657,11.22433807,-37.79583441,64590.61,960.92,201.72,-0.049755607,0.498507334,-0.483531793,-0.054166825,77.41935484,24,37.97495224
"United Spirits Ltd","MCDOWELL-N","Alcoholic Beverages",65386.87543,907.45,78.91247337,1.779235448,8.052603504,9748.4,1086.6,258.0,0.75607656,-0.692203277,0.990447639,0.0,56.52173913,13,4.137969034
"Marico Ltd","MARICO","FMCG - Personal Products",62792.30745,502.4,51.25902649,12.10147367,-6.892082277,10647.0,1601.0,376.0,1.665507329,-0.160146209,0.154146794,-0.001415045,56.41025641,22,15.44585987
"GAIL (India) Ltd","GAIL","Gas Distribution",60950.45328,94.15,4.973082993,13.97115055,38.10742463,95706.73,15463.52,3207.45,-1.367912311,-0.126229267,-1.666778231,0.011523987,70.0,21,16.83483802
"Berger Paints India Ltd","BERGEPAINT","Paints",60132.22758,612.2,72.20315023,13.63126387,21.54723037,8830.23,1122.29,289.47,-0.399337211,0.102533255,0.43448286,0.0,26.08695652,6,3.070891865
"Cholamandalam Investment and Finance Company Ltd","CHOLAFIN","Consumer Finance",59150.54432,714.75,27.46703954,16.85016774,-33.58666942,10231.81,2907.6,754.09,-0.495452792,0.733795312,-0.729864302,-0.016381041,74.19354839,23,18.5729276
"Canara Bank Ltd","CANBK","Public Banks",58772.63662,321.75,9.595783174,13.83544855,0.0,94256.89,9145.02,3020.18,1.552156631,0.465254961,0.306640496,0.0,76.92307692,10,-4.895104895
"Punjab National Bank","PNB","Public Banks",58766.431,53.4,15.22154587,9.129022532,0.0,88571.12,4826.09,965.35,0.843980026,0.226284713,0.831229613,0.0,17.64705882,3,-25.09363296
"UPL Ltd","UPL","Fertilizers & Agro Chemicals",58488.88563,774.85,16.13041523,22.68902632,14.01274311,46655.0,4966.0,1340.0,0.739033837,6.316639767,0.728854272,0.0,96.15384615,25,32.02555333
"Indian Railway Catering and Tourism Corporation Ltd","IRCTC","Online Services",58040.00832,723.0,87.45047888,4.474517983,70.193325,1975.43,889.51,225.82,0.250880625,-0.0617235,-0.006075125,0.0,16.66666667,1,-16.25172891
"ICICI Lombard General Insurance Company Ltd","ICICIGI","Insurance",56869.12645,1175.7,44.74290448,17.48864284,9.838310955,16836.02,1683.52,412.5,0.644133916,-0.923454204,0.242012788,-0.006667739,70.83333333,17,24.39397806
"IDBI Bank Ltd","IDBI","Public Banks",56795.13999,54.3,22.41606675,-6.173950634,0.0,23277.74,2557.08,23.4,-0.047172454,0.022014244,0.000520349,0.0,0.0,0,-22.6519337
"Hero MotoCorp Ltd","HEROMOTOCO","Two Wheelers",55592.15861,2828.25,23.99440567,0.442193266,15.64079799,30106.29,3058.11,741.23,1.313289958,-1.051142545,1.24816814,-0.000623037,56.81818182,25,4.658357642
"Torrent Pharmaceuticals Ltd","TORNTPHARM","Pharmaceuticals",55345.93619,1636.2,71.2137937,7.586282594,9.525997748,8704.6,1225.91,448.73,-0.499921642,0.570242282,-1.058179717,0.0,67.74193548,21,8.200097788
"Indus Towers Ltd","INDUSTOWER","Telecom Infrastructure",54749.10896,203.3,8.590655876,28.49203621,0.117654575,28175.7,8430.7,2057.6,-0.047776294,-0.116091176,0.002206619,0.186705667,23.80952381,5,0.836202656
"Union Bank of India Ltd","UNIONBANK","Public Banks",54272.15378,82.2,10.30749448,16.40790398,0.0,81754.07,8566.33,3301.02,0.147051739,0.301280627,0.145668835,0.0,33.33333333,2,-36.13138686
"Zomato Ltd","ZOMATO","Online Services",53658.13592,63.55,-44.39326212,74.46520034,38.45593976,5010.3,-1220.5,-11.8,36.19096765,15.47901629,2.201055434,0.0,73.91304348,17,41.62077105
"Tube Investments of India Ltd","TIINDIA","Cycles",52991.03301,2743.7,68.92425245,22.78645343,18.18747931,12654.09,1151.81,382.98,-0.620642376,0.399565768,-0.060944707,-0.008107856,60.0,3,5.478004155
"Page Industries Ltd","PAGEIND","Apparel & Accessories",52758.46861,47092.35,98.33091402,12.66139506,31.83661979,3907.45,708.78,172.24,1.283670588,0.103228708,0.665374201,0.0,23.80952381,5,8.864815623
"PI Industries Ltd","PIIND","Diversified Chemicals",51873.05876,3375.0,61.47553776,18.4957667,22.86468498,5404.5,1032.8,189.0,0.305176472,0.753682563,0.611352825,-0.659130243,65.38461538,17,9.777777778
"JSW Energy Ltd","JSWENERGY","Power Generation",51145.36193,308.9,29.58739453,0.605252646,9.525203616,8744.38,2238.27,509.65,0.28923336,0.067917001,-0.017775631,0.00030413,9.090909091,1,-32.82615733
"Trent Ltd","TRENT","Retail - Apparel",51131.79408,1456.95,483.1502796,19.75743517,63.87010861,4678.37,111.22,5.39,0.589754697,-0.893351622,0.691171777,0.0,56.25,9,7.896633378
"Jindal Steel And Power Ltd","JINDALSTEL","Iron & Steel",50946.92146,515.0,8.855636829,18.7756534,2.611683849,51216.0,9690.49,3937.44,-0.871905674,0.379635838,-0.999550238,0.753344738,65.2173913,15,2.330097087
"Fsn E-Commerce Ventures Ltd","NYKAA","Wellness Services",50899.11373,175.7,1238.722651,0.0,38.50893602,3800.91,47.32,6.23,-0.083306973,-0.400979698,0.118137608,-0.017681136,75.0,15,47.12602732
"Info Edge (India) Ltd","NAUKRI","Online Services",50708.33545,3961.15,3.97414452,73.82161491,-85.89405408,15399.46,14200.11,1440.55,0.507158556,-0.908592469,-0.86924809,0.0,52.38095238,11,23.82767631
"TVS Motor Company Ltd","TVSMOTOR","Two Wheelers",50355.23262,1060.5,66.53528265,14.07120863,6.899892459,24390.67,1066.79,309.97,-3.13426834,2.783495829,-1.066670691,0.0,57.5,23,15.37010844
"Bosch Ltd","BOSCHLTD","Auto Parts",50033.74617,16973.6,41.06849394,1.418610537,0.0,12177.8,1499.9,281.6,-0.153324581,0.058982208,1.312822019,0.0,40.0,2,0.774143376
"Samvardhana Motherson International Ltd","MOTHERSON","Auto Parts",49508.35116,73.3,56.65867608,8.507113334,14.14102053,64411.9,1788.4,914.6,0.06880375,-0.739878046,0.102467802,0.0,75.0,15,28.24010914
"Macrotech Developers Ltd","LODHA","Real Estate",48124.12641,997.3,40.02439051,2.396275704,2.247355208,9580.15,1716.54,514.17,0.832118962,-0.618019671,0.022027878,-0.003072147,73.33333333,11,30.55249173
"ACC Ltd","ACC","Cement",47429.57603,2514.05,25.45884628,8.03529541,20.4247341,16370.03,2506.38,643.39,-1.616363619,-0.679644071,-0.567913917,2.157475931,53.84615385,21,-3.402875838
"Container Corporation of India Ltd","CONCOR","Logistics",46585.33976,765.0,44.15169816,4.807476044,5.78074577,8041.35,1394.47,339.35,1.045900396,0.40681372,0.092150207,0.0,56.0,14,2.614379085
"Indian Hotels Company Ltd","INDHOTEL","Hotels, Resorts & Cruise Lines",46258.22348,325.85,-186.7359256,-5.011062429,68.64735048,3227.0,-258.18,-10.46,-0.235653755,1.184067003,1.138862611,0.0,71.42857143,10,11.24750652
"Patanjali Foods Ltd","PATANJALI","Packaged Foods & Meats",46235.64713,1246.3,57.34156059,5.404339558,31.5095829,24284.39,1074.39,268.07,1.515650832,-0.113317081,0.067866435,0.0,100.0,1,38.40969269
"HDFC Asset Management Company Ltd","HDFCAMC","Asset Management",46184.76633,2173.65,33.15179942,8.910658729,-6.723656091,2433.2,1855.29,462.16,0.958643057,5.050770547,0.903824728,-6.004899198,70.0,14,2.247371932
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","FMCG - Personal Products",45778.97505,14092.85,79.51189762,10.3606563,0.29195667,3925.24,790.14,214.39,0.381913706,-0.355346225,0.08990554,0.0,0.0,0,1.115104468
"Schaeffler India Ltd","SCHAEFFLER","Auto Parts",45224.98444,2832.95,71.88610191,24.77054602,21.34889906,5632.89,843.14,214.02,-1.15325763,0.797234639,-0.975481894,0.0,33.33333333,2,-0.280626202
"United Breweries Ltd","UBL","Alcoholic Beverages",44348.02746,1680.15,121.3485127,4.183631991,32.28690764,5868.23,494.44,128.98,0.861022945,-0.759163355,1.007124109,0.0,64.70588235,11,8.323661578
"Ashok Leyland Ltd","ASHOKLEY","Trucks & Buses",44017.6466,148.55,-122.7451733,2.551860064,20.65329274,26772.99,-199.59,159.02,-2.213370104,2.556797405,-2.141281729,0.0,85.0,34,21.17132279
"NHPC Ltd","NHPC","Renewable Energy",43922.817,42.7,12.46543051,-1.283180047,-1.193901409,10213.67,3217.35,-306.22,0.122028865,-0.079564085,0.896990491,0.0,100.0,9,17.09601874
"Indian Railway Finance Corp Ltd","IRFC","Specialized Finance",43820.68365,35.3,7.195715423,17.54354891,0.0,20301.6,6090.15,0.32,0.133301695,0.037539922,0.133891586,0.0,100.0,1,0.0
"Muthoot Finance Ltd","MUTHOOTFIN","Consumer Finance",43734.45209,1087.05,10.88839895,15.55919659,-39.76200944,12237.46,5410.18,1393.57,1.276400228,-1.023687044,1.146749782,-0.014050617,60.0,12,16.32399614
"Indian Overseas Bank","IOB","Public Banks",43262.67766,22.45,25.31046854,0.0,0.0,21641.17,1778.8,69.52,0.019162803,0.007648389,0.019162803,0.0,0.0,0,-37.63919822
"CG Power and Industrial Solutions Ltd","CGPOWER","Heavy Electrical Equipments",43016.9451,279.85,47.13979124,2.08649737,10.93685647,6191.45,1035.39,122.85,1.910329357,0.100566529,1.569758245,0.0,75.0,3,-5.663748437
"Yes Bank Ltd","YESBANK","Private Banks",42948.34437,17.05,40.36308855,1.66864528,-45.73198142,22423.52,1433.69,369.64,0.242510086,0.770884802,0.012973986,0.0,0.0,0,-17.88856305
"Colgate-Palmolive (India) Ltd","COLPAL","FMCG - Personal Products",42926.95004,1602.6,39.80910123,4.965767849,4.066686955,5126.04,1409.01,330.69,0.442963469,0.76991309,-0.137976773,0.0,22.58064516,7,1.08573568
